"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","127.0.0.1","127.0.0.1","TCP","74","43720  >  80 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=3810459989 TSecr=0 WS=1024"
"2","0.000058","127.0.0.1","127.0.0.1","TCP","74","80  >  43720 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=3810460002 TSecr=3810459989 WS=1024"
"3","0.000103","127.0.0.1","127.0.0.1","TCP","66","43720  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=3810460002 TSecr=3810460002"
"4","0.000241","127.0.0.1","127.0.0.1","HTTP","144","GET / HTTP/1.1 "
"5","0.000321","127.0.0.1","127.0.0.1","TCP","66","80  >  43720 [ACK] Seq=1 Ack=79 Win=65536 Len=0 TSval=3810460002 TSecr=3810460002"
"6","0.000783","127.0.0.1","127.0.0.1","HTTP","11022","HTTP/1.1 200 OK  (text/html)"
"7","0.000822","127.0.0.1","127.0.0.1","TCP","66","43720  >  80 [ACK] Seq=79 Ack=10957 Win=60416 Len=0 TSval=3810460002 TSecr=3810460002"
"8","0.001199","127.0.0.1","127.0.0.1","TCP","66","43720  >  80 [FIN, ACK] Seq=79 Ack=10957 Win=65536 Len=0 TSval=3810460003 TSecr=3810460002"
"9","0.001320","127.0.0.1","127.0.0.1","TCP","66","80  >  43720 [FIN, ACK] Seq=10957 Ack=80 Win=65536 Len=0 TSval=3810460003 TSecr=3810460003"
"10","0.001354","127.0.0.1","127.0.0.1","TCP","66","43720  >  80 [ACK] Seq=80 Ack=10958 Win=65536 Len=0 TSval=3810460003 TSecr=3810460003"
