Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Sat Feb 27 21:04:41 2021
Invocation: foremost -i mem.raw 
Output directory: /home/mritunjya/ctf/aero-ctf/output
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: mem.raw
Start: Sat Feb 27 21:04:43 2021
Length: 1024 MB (1073741824 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 

0:	00161587.gif 	      13 KB 	   82732579 	  (1168 x 769)
1:	00002273.bmp 	       1 KB 	    1163954 	  (16 x 16)
2:	00002275.bmp 	       1 KB 	    1165218 	  (16 x 16)
3:	00002278.bmp 	       1 KB 	    1166482 	  (16 x 16)
4:	00051863.bmp 	       2 KB 	   26554178 	  (32 x 18)
5:	00101633.bmp 	       1 KB 	   52036222 	  (16 x 16)
6:	00101635.bmp 	       1 KB 	   52037490 	  (16 x 16)
7:	00101638.bmp 	       1 KB 	   52038754 	  (16 x 16)
8:	00124742.htm 	      26 KB 	   63867950 	 
9:	00182277.zip 	      53 MB 	   93326230 	 
10:	00005304.dll 	      18 KB 	    2715648 	 12/03/2099 14:23:54
11:	00063520.dll 	     386 KB 	   32522240 	 01/01/1970 00:00:00
12:	00132008.dll 	       7 KB 	   67588096 	 01/01/1970 00:00:00
13:	00169120.exe 	     195 KB 	   86589440 	 05/03/2011 05:23:10
14:	00170416.dll 	      17 KB 	   87252992 	 01/01/1970 00:00:00
15:	00187736.dll 	      20 KB 	   96120832 	 01/01/1970 00:00:00
16:	00158248.png 	      821 B 	   81022976 	  (620 x 300)
17:	00161313.png 	       1 KB 	   82592520 	  (48 x 48)
18:	00161316.png 	       1 KB 	   82593848 	  (64 x 64)
19:	00170432.png 	      351 B 	   87261584 	  (43 x 111)
20:	00374219.jpg 	      57 KB 	  191600628 	 
21:	00215860.bmp 	       2 KB 	  110520370 	  (24 x 24)
22:	00388486.bmp 	      20 KB 	  198904946 	  (96 x 54)
23:	00388841.bmp 	       1 KB 	  199087074 	  (16 x 16)
24:	00388844.bmp 	       1 KB 	  199088338 	  (16 x 16)
25:	00388846.bmp 	       1 KB 	  199089602 	  (16 x 16)
26:	00214904.dll 	       8 KB 	  110030848 	 01/01/1970 00:00:00
27:	00231392.dll 	      14 KB 	  118472704 	 01/01/1970 00:00:00
28:	00238224.dll 	      39 KB 	  121970688 	 01/01/1970 00:00:00
29:	00258536.dll 	       9 KB 	  132370432 	 01/01/1970 00:00:00
30:	00308056.dll 	     149 KB 	  157724672 	 09/02/2020 02:33:50
31:	00343216.dll 	       2 MB 	  175726592 	 06/04/2092 19:04:46
32:	00371190.exe 	     861 KB 	  190049680 	 08/28/2026 20:30:13
33:	00235560.png 	       1 KB 	  120606872 	  (20 x 20)
34:	00235562.png 	       1 KB 	  120607968 	  (24 x 24)
35:	00235564.png 	       1 KB 	  120609120 	  (32 x 32)
36:	00282288.png 	       1 KB 	  144531492 	  (64 x 64)
37:	00336792.png 	       1 KB 	  172437616 	  (256 x 256)
38:	00551297.bmp 	       2 KB 	  282264098 	  (32 x 18)
39:	00551302.bmp 	       4 KB 	  282266654 	  (32 x 32)
40:	00582776.bmp 	       9 KB 	  298381426 	  (48 x 48)
41:	00584063.htm 	       26 B 	  299040696 	 
42:	00508512.ole 	       7 KB 	  260358144 	 
43:	00426840.dll 	      37 KB 	  218542080 	 01/01/1970 00:00:00
44:	00444712.dll 	     639 KB 	  227692544 	 09/02/2020 02:33:50
45:	00464056.dll 	       5 KB 	  237596672 	 01/01/1970 00:00:00
46:	00492181.exe 	       3 KB 	  251997088 	 02/09/2008 17:44:38
47:	00524067.exe 	      45 KB 	  268322352 	 02/14/2011 23:10:51
48:	00590697.png 	      461 B 	  302437064 	  (16 x 16)
49:	00590698.png 	      579 B 	  302437528 	  (20 x 20)
50:	00590699.png 	      637 B 	  302438112 	  (24 x 24)
51:	00590700.png 	      925 B 	  302438752 	  (32 x 32)
52:	00683525.gif 	      15 KB 	  349964800 	  (65535 x 65535)
53:	00633841.htm 	      132 B 	  324526939 	 
54:	00626488.dll 	      12 KB 	  320761856 	 01/01/1970 00:00:00
55:	00688048.exe 	     195 KB 	  352280576 	 05/03/2011 05:23:10
56:	00747336.dll 	      59 KB 	  382636032 	 09/02/2020 02:33:49
57:	00796536.dll 	     203 KB 	  407826432 	 01/01/1970 00:00:00
58:	00798136.dll 	      18 KB 	  408645632 	 01/01/1970 00:00:00
59:	00627488.png 	       2 KB 	  321274112 	  (256 x 256)
60:	00900096.jpg 	     286 KB 	  460849152 	 
61:	00937024.jpg 	      57 KB 	  479756288 	 
62:	00835536.bmp 	       9 KB 	  427794546 	  (48 x 48)
63:	01010904.bmp 	       1 KB 	  517582962 	  (16 x 16)
64:	01010906.bmp 	       1 KB 	  517584226 	  (16 x 16)
65:	01010909.bmp 	       1 KB 	  517585490 	  (16 x 16)
66:	01010911.bmp 	       1 KB 	  517586754 	  (16 x 16)
67:	00887554.zip 	       1 MB 	  454427867 	 
68:	00839760.dll 	       8 KB 	  429957120 	 01/01/1970 00:00:00
69:	00931544.dll 	       1 MB 	  476950528 	 09/02/2020 02:33:50
70:	00987280.dll 	     258 KB 	  505487360 	 05/19/2043 06:02:04
71:	01009680.png 	       1 KB 	  516956440 	  (48 x 48)
72:	01009683.png 	       1 KB 	  516957696 	  (64 x 64)
73:	01135152.jpg 	      60 KB 	  581197936 	 
74:	01123447.gif 	      577 B 	  575205304 	  (18759 x 14406)
75:	01158094.gif 	      17 KB 	  592944199 	  (25959 x 25716)
76:	01081379.bmp 	      111 B 	  553666253 	  (1296510976 x 111)
77:	01110432.bmp 	       2 KB 	  568541298 	  (24 x 24)
78:	01110437.bmp 	       2 KB 	  568543842 	  (24 x 24)
79:	01085584.wav 	     184 KB 	  555819008 	 
80:	01043540.htm 	       39 B 	  534292733 	 
81:	01162904.htm 	      137 B 	  595407337 	 
82:	01076384.dll 	     794 KB 	  551108608 	 09/26/2020 08:49:55
83:	01116792.dll 	       9 KB 	  571797504 	 01/01/1970 00:00:00
84:	01121472.dll 	      40 KB 	  574193664 	 01/01/1970 00:00:00
85:	01125056.dll 	     604 KB 	  576028672 	 09/27/2091 11:28:51
86:	01156424.dll 	      43 KB 	  592089088 	 01/01/1970 00:00:00
87:	01163952.dll 	       3 KB 	  595943424 	 01/01/1970 00:00:00
88:	01164996.exe 	       3 KB 	  596478320 	 06/28/2007 05:03:55
89:	01166816.dll 	       1 MB 	  597409792 	 01/01/1970 00:00:00
90:	01193008.dll 	      18 KB 	  610820096 	 01/01/1970 00:00:00
91:	01049792.png 	      485 B 	  537493856 	  (24 x 24)
92:	01049793.png 	      600 B 	  537494344 	  (32 x 32)
93:	01049794.png 	      600 B 	  537494944 	  (32 x 32)
94:	01049795.png 	      729 B 	  537495544 	  (40 x 40)
95:	01049797.png 	      866 B 	  537496280 	  (48 x 48)
96:	01140424.png 	      394 B 	  583897192 	  (24 x 24)
97:	01140424_1.png 	      501 B 	  583897592 	  (32 x 32)
98:	01140425.png 	      283 B 	  583898096 	  (16 x 16)
99:	01140426.png 	      331 B 	  583898384 	  (20 x 20)
100:	01140427.png 	      394 B 	  583898720 	  (24 x 24)
101:	01140427_1.png 	      501 B 	  583899120 	  (32 x 32)
102:	01140428.png 	      280 B 	  583899624 	  (16 x 16)
103:	01140429.png 	      310 B 	  583899904 	  (20 x 20)
104:	01140430.png 	      412 B 	  583900216 	  (24 x 24)
105:	01140430_1.png 	      482 B 	  583900632 	  (32 x 32)
106:	01230687.bmp 	      20 KB 	  630111842 	  (96 x 54)
107:	01234168.bmp 	       1 KB 	  631894354 	  (16 x 16)
108:	01234171.bmp 	       1 KB 	  631895618 	  (16 x 16)
109:	01234173.bmp 	       1 KB 	  631896882 	  (16 x 16)
110:	01269248.bmp 	       9 KB 	  649855218 	  (48 x 48)
111:	01289408.bmp 	      36 KB 	  660177010 	  (96 x 96)
112:	01296501.bmp 	      432 B 	  663808926 	  (1296229148 x 611)
113:	01312521.bmp 	       1 KB 	  672011186 	  (16 x 16)
114:	01312524.bmp 	       1 KB 	  672012450 	  (16 x 16)
115:	01312526.bmp 	       1 KB 	  672013714 	  (16 x 16)
116:	01337247.bmp 	     142 KB 	  684670641 	  (768 x 768)
117:	01347454.bmp 	       2 KB 	  689896722 	  (32 x 18)
118:	01371424.bmp 	       4 KB 	  702169202 	  (32 x 32)
119:	01410274.bmp 	       4 KB 	  722060674 	  (32 x 32)
120:	01390925.htm 	      246 B 	  712153610 	 
121:	01390925_1.htm 	      311 B 	  712153894 	 
122:	01249738.exe 	      45 KB 	  639865904 	 02/14/2011 23:10:51
123:	01256776.dll 	       1 MB 	  643469312 	 01/01/1970 00:00:00
124:	01263467.dll 	      624 B 	  646895248 	 05/04/2008 12:17:34
125:	01269544.dll 	       7 KB 	  650006528 	 01/01/1970 00:00:00
126:	01275184.dll 	      34 KB 	  652894208 	 01/01/1970 00:00:00
127:	01284552.exe 	       1 MB 	  657690624 	 06/20/2018 15:58:30
128:	01308679.exe 	      70 KB 	  670043776 	 09/10/2072 12:39:36
129:	01314601.dll 	      59 KB 	  673075728 	 09/02/2020 02:33:49
130:	01395448.dll 	       7 KB 	  714469376 	 01/01/1970 00:00:00
131:	01248466.png 	       1 KB 	  639214704 	  (256 x 256)
132:	01361282.png 	      209 B 	  696976480 	  (12 x 12)
