PASS: Availability of <netdb.h>
PASS: Combined <netdb.h> test
PASS: Availability of type in_port_t
PASS: Availability of type in_addr_t
PASSCOMBINED: Availability of type struct hostent
PASSCOMBINED: Availability of member h_name
PASSCOMBINED: Type of member h_name
PASSCOMBINED: Availability of member h_aliases
PASSCOMBINED: Type of member h_aliases
PASSCOMBINED: Availability of member h_addrtype
PASSCOMBINED: Type of member h_addrtype
PASSCOMBINED: Availability of member h_length
PASSCOMBINED: Type of member h_length
PASSCOMBINED: Availability of member h_addr_list
PASSCOMBINED: Type of member h_addr_list
PASSCOMBINED: Availability of type struct netent
PASSCOMBINED: Availability of member n_name
PASSCOMBINED: Type of member n_name
PASSCOMBINED: Availability of member n_aliases
PASSCOMBINED: Type of member n_aliases
PASSCOMBINED: Availability of member n_addrtype
PASSCOMBINED: Type of member n_addrtype
PASSCOMBINED: Availability of member n_net
PASSCOMBINED: Type of member n_net
PASSCOMBINED: Availability of type uint32_t
PASSCOMBINED: Availability of type struct protoent
PASSCOMBINED: Availability of member p_name
PASSCOMBINED: Type of member p_name
PASSCOMBINED: Availability of member p_aliases
PASSCOMBINED: Type of member p_aliases
PASSCOMBINED: Availability of member p_proto
PASSCOMBINED: Type of member p_proto
PASSCOMBINED: Availability of type struct servent
PASSCOMBINED: Availability of member s_name
PASSCOMBINED: Type of member s_name
PASSCOMBINED: Availability of member s_aliases
PASSCOMBINED: Type of member s_aliases
PASSCOMBINED: Availability of member s_port
PASSCOMBINED: Type of member s_port
PASSCOMBINED: Availability of member s_proto
PASSCOMBINED: Type of member s_proto
PASSCOMBINED: Availability of macro IPPORT_RESERVED
PASSCOMBINED: Availability of macro HOST_NOT_FOUND
PASSCOMBINED: Availability of macro NO_DATA
PASSCOMBINED: Availability of macro NO_RECOVERY
PASSCOMBINED: Availability of macro TRY_AGAIN
PASSCOMBINED: Availability of type struct addrinfo
PASSCOMBINED: Availability of member ai_flags
PASSCOMBINED: Type of member ai_flags
PASSCOMBINED: Availability of member ai_family
PASSCOMBINED: Type of member ai_family
PASSCOMBINED: Availability of member ai_socktype
PASSCOMBINED: Type of member ai_socktype
PASSCOMBINED: Availability of member ai_protocol
PASSCOMBINED: Type of member ai_protocol
PASSCOMBINED: Availability of member ai_addrlen
PASSCOMBINED: Type of member ai_addrlen
PASSCOMBINED: Availability of member ai_addr
PASSCOMBINED: Type of member ai_addr
PASSCOMBINED: Availability of member ai_canonname
PASSCOMBINED: Type of member ai_canonname
PASSCOMBINED: Availability of member ai_next
PASSCOMBINED: Type of member ai_next
PASSCOMBINED: Availability of macro AI_PASSIVE
PASSCOMBINED: Availability of macro AI_CANONNAME
PASSCOMBINED: Availability of macro AI_NUMERICHOST
PASSCOMBINED: Availability of macro AI_V4MAPPED
PASSCOMBINED: Availability of macro AI_ALL
