PASS: Availability of <stdio.h>
PASS: Combined <stdio.h> test
PASSCOMBINED: Availability of macro BUFSIZ
PASSCOMBINED: Availability of constant BUFSIZ
PASSCOMBINED: #if usability of symbol BUFSIZ
PASSCOMBINED: Value of symbol BUFSIZ
PASSCOMBINED: Availability of macro FILENAME_MAX
PASSCOMBINED: Availability of constant FILENAME_MAX
PASSCOMBINED: #if usability of symbol FILENAME_MAX
PASSCOMBINED: Availability of macro FOPEN_MAX
PASSCOMBINED: Availability of constant FOPEN_MAX
PASSCOMBINED: #if usability of symbol FOPEN_MAX
PASSCOMBINED: Value of symbol FOPEN_MAX
PASSCOMBINED: Availability of macro _IOFBF
PASSCOMBINED: Availability of constant _IOFBF
PASSCOMBINED: #if usability of symbol _IOFBF
PASSCOMBINED: Availability of macro _IOLBF
PASSCOMBINED: Availability of constant _IOLBF
PASSCOMBINED: #if usability of symbol _IOLBF
PASSCOMBINED: Availability of macro _IONBF
PASSCOMBINED: Availability of constant _IONBF
PASSCOMBINED: #if usability of symbol _IONBF
PASSCOMBINED: Availability of constant L_ctermid
PASSCOMBINED: Availability of constant L_cuserid
PASSCOMBINED: Availability of macro L_tmpnam
PASSCOMBINED: Availability of constant L_tmpnam
PASSCOMBINED: #if usability of symbol L_tmpnam
PASSCOMBINED: Availability of macro SEEK_CUR
PASSCOMBINED: Availability of constant SEEK_CUR
PASSCOMBINED: #if usability of symbol SEEK_CUR
PASSCOMBINED: Availability of macro SEEK_END
PASSCOMBINED: Availability of constant SEEK_END
PASSCOMBINED: #if usability of symbol SEEK_END
PASSCOMBINED: Availability of macro SEEK_SET
PASSCOMBINED: Availability of constant SEEK_SET
PASSCOMBINED: #if usability of symbol SEEK_SET
PASSCOMBINED: Availability of macro TMP_MAX
PASSCOMBINED: Availability of constant TMP_MAX
PASSCOMBINED: #if usability of symbol TMP_MAX
PASSCOMBINED: Value of symbol TMP_MAX
PASSCOMBINED: Availability of macro EOF
PASSCOMBINED: Availability of constant EOF
PASSCOMBINED: #if usability of symbol EOF
PASSCOMBINED: Value of symbol EOF
PASSCOMBINED: Availability of macro NULL
PASSCOMBINED: Availability of constant NULL
PASSCOMBINED: Value of symbol NULL
PASSCOMBINED: Availability of constant P_tmpdir
PASSCOMBINED: Availability of macro stdin
PASSCOMBINED: Type of symbol stdin
PASSCOMBINED: Availability of macro stdout
PASSCOMBINED: Type of symbol stdout
PASSCOMBINED: Availability of macro stderr
PASSCOMBINED: Type of symbol stderr
PASSCOMBINED: Availability of type FILE
PASSCOMBINED: Availability of type fpos_t
PASSCOMBINED: Availability of type va_list
PASSCOMBINED: Availability of type size_t
PASSCOMBINED: Availability of function clearerr
PASSCOMBINED: Type of function clearerr
PASSCOMBINED: Availability of function ctermid
PASSCOMBINED: Type of function ctermid
PASSCOMBINED: Availability of function cuserid
PASSCOMBINED: Type of function cuserid
PASSCOMBINED: Availability of function fclose
PASSCOMBINED: Type of function fclose
PASSCOMBINED: Availability of function fdopen
PASSCOMBINED: Type of function fdopen
PASSCOMBINED: Availability of function feof
PASSCOMBINED: Type of function feof
PASSCOMBINED: Availability of function ferror
PASSCOMBINED: Type of function ferror
PASSCOMBINED: Availability of function fflush
PASSCOMBINED: Type of function fflush
PASSCOMBINED: Availability of function fgetc
PASSCOMBINED: Type of function fgetc
PASSCOMBINED: Availability of function fgetpos
PASSCOMBINED: Type of function fgetpos
PASSCOMBINED: Availability of function fgets
PASSCOMBINED: Type of function fgets
PASSCOMBINED: Availability of function fileno
PASSCOMBINED: Type of function fileno
PASSCOMBINED: Availability of function fopen
PASSCOMBINED: Type of function fopen
PASSCOMBINED: Availability of function fprintf
PASSCOMBINED: Type of function fprintf
PASSCOMBINED: Availability of function fputc
PASSCOMBINED: Type of function fputc
PASSCOMBINED: Availability of function fputs
PASSCOMBINED: Type of function fputs
PASSCOMBINED: Availability of function fread
PASSCOMBINED: Type of function fread
PASSCOMBINED: Availability of function freopen
PASSCOMBINED: Type of function freopen
PASSCOMBINED: Availability of function fscanf
PASSCOMBINED: Type of function fscanf
PASSCOMBINED: Availability of function fseek
PASSCOMBINED: Type of function fseek
PASSCOMBINED: Availability of function fsetpos
PASSCOMBINED: Type of function fsetpos
PASSCOMBINED: Availability of function ftell
PASSCOMBINED: Type of function ftell
PASSCOMBINED: Availability of function fwrite
PASSCOMBINED: Type of function fwrite
PASSCOMBINED: Availability of function getc
PASSCOMBINED: Type of function getc
PASSCOMBINED: Availability of function getchar
PASSCOMBINED: Type of function getchar
PASSCOMBINED: Availability of function getopt
PASSCOMBINED: Type of function getopt
PASSCOMBINED: Availability of function gets
PASSCOMBINED: Type of function gets
PASSCOMBINED: Availability of function getw
PASSCOMBINED: Type of function getw
PASSCOMBINED: Availability of function pclose
PASSCOMBINED: Type of function pclose
PASSCOMBINED: Availability of function perror
PASSCOMBINED: Type of function perror
PASSCOMBINED: Availability of function popen
PASSCOMBINED: Type of function popen
PASSCOMBINED: Availability of function printf
PASSCOMBINED: Type of function printf
PASSCOMBINED: Availability of function putc
PASSCOMBINED: Type of function putc
