PASS: Availability of <termios.h>
PASS: Combined <termios.h> test
PASSCOMBINED: Availability of type cc_t
PASSCOMBINED: Availability of type speed_t
PASSCOMBINED: Availability of type tcflag_t
PASSCOMBINED: Availability of type struct termios
PASSCOMBINED: Availability of member c_iflag
PASSCOMBINED: Type of member c_iflag
PASSCOMBINED: Availability of member c_oflag
PASSCOMBINED: Type of member c_oflag
PASSCOMBINED: Availability of member c_cflag
PASSCOMBINED: Type of member c_cflag
PASSCOMBINED: Availability of member c_lflag
PASSCOMBINED: Type of member c_lflag
PASSCOMBINED: Availability of member c_cc
PASSCOMBINED: Type of member c_cc
PASSCOMBINED: Availability of constant NCCS
PASSCOMBINED: Availability of constant VEOF
PASSCOMBINED: Availability of constant VEOL
PASSCOMBINED: Availability of constant VERASE
PASSCOMBINED: Availability of constant VINTR
PASSCOMBINED: Availability of constant VKILL
PASSCOMBINED: Availability of constant VMIN
PASSCOMBINED: Availability of constant VQUIT
PASSCOMBINED: Availability of constant VSTART
PASSCOMBINED: Availability of constant VSTOP
PASSCOMBINED: Availability of constant VSUSP
PASSCOMBINED: Availability of constant VTIME
PASSCOMBINED: Availability of constant BRKINT
PASSCOMBINED: Availability of constant ICRNL
PASSCOMBINED: Availability of constant IGNBRK
PASSCOMBINED: Availability of constant IGNCR
PASSCOMBINED: Availability of constant IGNPAR
PASSCOMBINED: Availability of constant INLCR
PASSCOMBINED: Availability of constant INPCK
PASSCOMBINED: Availability of constant ISTRIP
PASSCOMBINED: Availability of constant IUCLC
PASSCOMBINED: Availability of constant IXANY
PASSCOMBINED: Availability of constant IXOFF
PASSCOMBINED: Availability of constant IXON
PASSCOMBINED: Availability of constant PARMRK
PASSCOMBINED: Availability of constant OPOST
PASSCOMBINED: Availability of constant OLCUC
PASSCOMBINED: Availability of constant ONLCR
PASSCOMBINED: Availability of constant OCRNL
PASSCOMBINED: Availability of constant ONOCR
PASSCOMBINED: Availability of constant ONLRET
PASSCOMBINED: Availability of constant OFDEL
PASSCOMBINED: Availability of constant OFILL
PASSCOMBINED: Availability of constant NLDLY
PASSCOMBINED: Availability of constant NL0
PASSCOMBINED: Availability of constant NL1
PASSCOMBINED: Availability of constant CRDLY
PASSCOMBINED: Availability of constant CR0
PASSCOMBINED: Availability of constant CR1
PASSCOMBINED: Availability of constant CR2
PASSCOMBINED: Availability of constant CR3
PASSCOMBINED: Availability of constant TABDLY
PASSCOMBINED: Availability of constant TAB0
PASSCOMBINED: Availability of constant TAB1
PASSCOMBINED: Availability of constant TAB2
PASSCOMBINED: Availability of constant TAB3
PASSCOMBINED: Availability of constant BSDLY
PASSCOMBINED: Availability of constant BS0
PASSCOMBINED: Availability of constant BS1
PASSCOMBINED: Availability of constant VTDLY
PASSCOMBINED: Availability of constant VT0
PASSCOMBINED: Availability of constant VT1
PASSCOMBINED: Availability of constant FFDLY
PASSCOMBINED: Availability of constant FF0
PASSCOMBINED: Availability of constant FF1
PASSCOMBINED: Availability of constant B0
PASSCOMBINED: Availability of constant B50
PASSCOMBINED: Availability of constant B75
PASSCOMBINED: Availability of constant B110
PASSCOMBINED: Availability of constant B134
PASSCOMBINED: Availability of constant B150
PASSCOMBINED: Availability of constant B200
PASSCOMBINED: Availability of constant B300
PASSCOMBINED: Availability of constant B600
PASSCOMBINED: Availability of constant B1200
PASSCOMBINED: Availability of constant B1800
PASSCOMBINED: Availability of constant B2400
PASSCOMBINED: Availability of constant B4800
PASSCOMBINED: Availability of constant B9600
