1000:   22: successfully loaded `testobj6.so', handle 0x555556ddb320
 999:   19: successfully loaded `testobj5.so', handle 0x555556ddb950
 998:    9: successfully loaded `testobj3.so', handle 0x555556ddc010
 997:   14: successfully loaded `testobj4.so', handle 0x555556ddc660
 996:    4: successfully loaded `testobj2.so', handle 0x555556ddccb0
 995:   13: successfully unloaded `testobj4.so', handle 0x555556ddc660
 994:    3: successfully loaded `testobj1.so', handle 0x555556ddd250
 993:   18: successfully unloaded `testobj5.so', handle 0x555556ddb950
 992:    4: successfully unloaded `testobj2.so', handle 0x555556ddccb0
 991:   23: successfully unloaded `testobj6.so', handle 0x555556ddb320
 990:    2: successfully unloaded `testobj1.so', handle 0x555556ddd250
 989:   11: successfully unloaded `testobj3.so', handle 0x555556ddc010
 988:    2: successfully loaded `testobj1.so', handle 0x555556ddb950
 987:   19: successfully loaded `testobj5.so', handle 0x555556ddb2b0
 986:   17: successfully unloaded `testobj5.so', handle 0x555556ddb2b0
 985:    1: successfully unloaded `testobj1.so', handle 0x555556ddb950
 984:    8: successfully loaded `testobj3.so', handle 0x555556ddb2b0
 983:   20: successfully loaded `testobj6.so', handle 0x555556ddb8e0
 982:   19: successfully loaded `testobj5.so', handle 0x555556ddbfa0
 981:    8: successfully unloaded `testobj3.so', handle 0x555556ddb2b0
 980:   21: successfully unloaded `testobj6.so', handle 0x555556ddb8e0
 979:    5: successfully loaded `testobj2.so', handle 0x555556ddb2b0
 978:   11: successfully loaded `testobj3.so', handle 0x555556ddb8e0
 977:   18: successfully unloaded `testobj5.so', handle 0x555556ddbfa0
 976:   12: successfully loaded `testobj4.so', handle 0x555556ddbfa0
 975:    6: successfully unloaded `testobj2.so', handle 0x555556ddb2b0
 974:    7: successfully loaded `testobj2.so', handle 0x555556ddb2b0
 973:    8: successfully unloaded `testobj3.so', handle 0x555556ddb8e0
 972:   14: successfully unloaded `testobj4.so', handle 0x555556ddbfa0
 971:    4: successfully unloaded `testobj2.so', handle 0x555556ddb2b0
 970:    0: successfully loaded `testobj1.so', handle 0x555556ddb8e0
 969:   12: successfully loaded `testobj4.so', handle 0x555556ddb2b0
 968:    0: successfully unloaded `testobj1.so', handle 0x555556ddb8e0
 967:    1: successfully loaded `testobj1.so', handle 0x555556ddb8e0
 966:    2: successfully unloaded `testobj1.so', handle 0x555556ddb8e0
 965:   20: successfully loaded `testobj6.so', handle 0x555556ddb8e0
 964:    6: successfully loaded `testobj2.so', handle 0x555556ddbfa0
 963:   21: successfully unloaded `testobj6.so', handle 0x555556ddb8e0
 962:    6: successfully unloaded `testobj2.so', handle 0x555556ddbfa0
 961:   10: successfully loaded `testobj3.so', handle 0x555556ddb8e0
 960:   12: successfully unloaded `testobj4.so', handle 0x555556ddb2b0
 959:    1: successfully loaded `testobj1.so', handle 0x555556ddb2b0
 958:   22: successfully loaded `testobj6.so', handle 0x555556ddbfa0
 957:    6: successfully loaded `testobj2.so', handle 0x555556ddcbd0
 956:   20: successfully unloaded `testobj6.so', handle 0x555556ddbfa0
 955:   15: successfully loaded `testobj4.so', handle 0x555556ddbfa0
 954:    8: successfully unloaded `testobj3.so', handle 0x555556ddb8e0
 953:   20: successfully loaded `testobj6.so', handle 0x555556ddb8e0
 952:    4: successfully unloaded `testobj2.so', handle 0x555556ddcbd0
 951:   19: successfully loaded `testobj5.so', handle 0x555556ddcbd0
 950:   20: successfully unloaded `testobj6.so', handle 0x555556ddb8e0
 949:   17: successfully unloaded `testobj5.so', handle 0x555556ddcbd0
 948:    1: successfully unloaded `testobj1.so', handle 0x555556ddb2b0
 947:   23: successfully loaded `testobj6.so', handle 0x555556ddb8e0
 946:    4: successfully loaded `testobj2.so', handle 0x555556ddb2b0
 945:    5: successfully unloaded `testobj2.so', handle 0x555556ddb2b0
 944:    5: successfully loaded `testobj2.so', handle 0x555556ddb2b0
 943:   11: successfully loaded `testobj3.so', handle 0x555556ddd0e0
 942:   13: successfully unloaded `testobj4.so', handle 0x555556ddbfa0
 941:   19: successfully loaded `testobj5.so', handle 0x555556ddbfa0
 940:   15: successfully loaded `testobj4.so', handle 0x555556ddd850
 939:    6: successfully unloaded `testobj2.so', handle 0x555556ddb2b0
 938:   23: successfully unloaded `testobj6.so', handle 0x555556ddb8e0
 937:    7: successfully loaded `testobj2.so', handle 0x555556ddb2b0
 936:    7: successfully unloaded `testobj2.so', handle 0x555556ddb2b0
 935:   17: successfully unloaded `testobj5.so', handle 0x555556ddbfa0
 934:   20: successfully loaded `testobj6.so', handle 0x555556ddb2b0
 933:   14: successfully unloaded `testobj4.so', handle 0x555556ddd850
 932:    6: successfully loaded `testobj2.so', handle 0x555556ddbfa0
 931:    2: successfully loaded `testobj1.so', handle 0x555556ddcbd0
 930:    0: successfully unloaded `testobj1.so', handle 0x555556ddcbd0
 929:   10: successfully unloaded `testobj3.so', handle 0x555556ddd0e0
 928:    3: successfully loaded `testobj1.so', handle 0x555556ddcbd0
 927:   14: successfully loaded `testobj4.so', handle 0x555556ddd0e0
 926:   16: successfully loaded `testobj5.so', handle 0x555556ddb8e0
 925:   15: successfully unloaded `testobj4.so', handle 0x555556ddd0e0
 924:   22: successfully unloaded `testobj6.so', handle 0x555556ddb2b0
 923:   16: successfully unloaded `testobj5.so', handle 0x555556ddb8e0
 922:    3: successfully unloaded `testobj1.so', handle 0x555556ddcbd0
 921:   18: successfully loaded `testobj5.so', handle 0x555556ddd0e0
 920:   12: successfully loaded `testobj4.so', handle 0x555556ddb8e0
 919:   23: successfully loaded `testobj6.so', handle 0x555556ddb2b0
 918:   11: successfully loaded `testobj3.so', handle 0x555556ddd850
