0x00	0x0000
0x01	0x0001
0x02	0x0002
0x03	0x0003
0x04	0x0004
0x05	0x0005
0x06	0x0006
0x07	0x0007
0x08	0x0008
0x09	0x0009
0x0A	0x000A
0x0B	0x000B
0x0C	0x000C
0x0D	0x000D
0x0E	0x000E
0x0F	0x000F
0x10	0x0010
0x11	0x0011
0x12	0x0012
0x13	0x0013
0x14	0x0014
0x15	0x0015
0x16	0x0016
0x17	0x0017
0x18	0x0018
0x19	0x0019
0x1A	0x001A
0x1B	0x001B
0x1C	0x001C
0x1D	0x001D
0x1E	0x001E
0x1F	0x001F
0x20	0x2800
0x21	0x282E
0x22	0x2810
0x23	0x283C
0x24	0x282B
0x25	0x2829
0x26	0x282F
0x27	0x2804
0x28	0x2837
0x29	0x283E
0x2A	0x2821
0x2B	0x282C
0x2C	0x2820
0x2D	0x2824
0x2E	0x2828
0x2F	0x280C
0x30	0x2834
0x31	0x2802
0x32	0x2806
0x33	0x2812
0x34	0x2832
0x35	0x2822
0x36	0x2816
0x37	0x2836
0x38	0x2826
0x39	0x2814
0x3A	0x2831
0x3B	0x2830
0x3C	0x2823
0x3D	0x283F
0x3E	0x281C
0x3F	0x2839
0x40	0x2808
0x41	0x2801
0x42	0x2803
0x43	0x2809
0x44	0x2819
0x45	0x2811
0x46	0x280B
0x47	0x281B
0x48	0x2813
0x49	0x280A
0x4A	0x281A
0x4B	0x2805
0x4C	0x2807
0x4D	0x280D
0x4E	0x281D
0x4F	0x2815
0x50	0x280F
0x51	0x281F
0x52	0x2817
0x53	0x280E
0x54	0x281E
0x55	0x2825
0x56	0x2827
0x57	0x283A
0x58	0x282D
0x59	0x283D
0x5A	0x2835
0x5B	0x282A
0x5C	0x2833
0x5D	0x283B
0x5E	0x2818
0x5F	0x2838
