0x00	0x0000
0x01	0x0001
0x02	0x0002
0x03	0x0003
0x04	0x0004
0x05	0x0005
0x06	0x0006
0x07	0x0007
0x08	0x0008
0x09	0x0009
0x0A	0x000A
0x0B	0x000B
0x0C	0x000C
0x0D	0x000D
0x0E	0x000E
0x0F	0x000F
0x10	0x0010
0x11	0x0011
0x12	0x0012
0x13	0x0013
0x14	0x0014
0x15	0x0015
0x16	0x0016
0x17	0x0017
0x18	0x0018
0x19	0x0019
0x1A	0x001A
0x1B	0x001B
0x1C	0x001C
0x1D	0x001D
0x1E	0x001E
0x1F	0x001F
0x20	0x0020
0x3A	0x03B1
0x3B	0x03B2
0x3C	0x03B3
0x3D	0x03B4
0x3E	0x039E
0x5E	0x2192
0x5F	0x222B
0x60	0x2070
0x61	0x00B9
0x62	0x00B2
0x63	0x00B3
0x64	0x2074
0x65	0x2075
0x66	0x2076
0x67	0x2077
0x68	0x2078
0x69	0x2079
0x6A	0x207A
0x6B	0x207B
0x6C	0x30EB
0x6D	0x0394
0x6E	0x039B
0x6F	0x03A9
0x70	0x2080
0x71	0x2081
0x72	0x2082
0x73	0x2083
0x74	0x2084
0x75	0x2085
0x76	0x2086
0x77	0x2087
0x78	0x2088
0x79	0x2089
0x7A	0x03A3
0x7B	0x03BC
0x7C	0x03BD
0x7D	0x03C9
0x7E	0x03C0
0x7F	0x007F
