0x00	0x0000
0x01	0x0001
0x02	0x0002
0x03	0x0003
0x04	0x0004
0x05	0x0005
0x06	0x0006
0x07	0x0007
0x08	0x0008
0x09	0x0009
0x0A	0x000A
0x0B	0x000B
0x0C	0x000C
0x0D	0x000D
0x0E	0x000E
0x0F	0x000F
0x10	0x0010
0x11	0x0011
0x12	0x0012
0x13	0x0013
0x14	0x0014
0x15	0x0015
0x16	0x0016
0x17	0x0017
0x18	0x0018
0x19	0x0019
0x1A	0x001A
0x1B	0x001B
0x1C	0x001C
0x1D	0x001D
0x1E	0x001E
0x1F	0x001F
0x20	0x0020
0x40	0x0491
0x41	0x0452
0x42	0x0453
0x43	0x0454
0x44	0x0451
0x45	0x0455
0x46	0x0456
0x47	0x0457
0x48	0x0458
0x49	0x0459
0x4A	0x045A
0x4B	0x045B
0x4C	0x045C
0x4D	0x045E
0x4E	0x045F
0x50	0x0463
0x51	0x0473
0x52	0x0475
0x53	0x046B
0x5B	0x005B
0x5D	0x005D
0x5F	0x005F
0x60	0x0490
0x61	0x0402
0x62	0x0403
0x63	0x0404
0x64	0x0401
0x65	0x0405
0x66	0x0406
0x67	0x0407
0x68	0x0408
0x69	0x0409
0x6A	0x040A
0x6B	0x040B
0x6C	0x040C
0x6D	0x040E
0x6E	0x040F
0x6F	0x042A
0x70	0x0462
0x71	0x0472
0x72	0x0474
0x73	0x046A
0x7F	0x007F
