0x00	0x0000
0x01	0x0001
0x02	0x0002
0x03	0x0003
0x04	0x0004
0x05	0x0005
0x06	0x0006
0x07	0x0007
0x08	0x0008
0x09	0x0009
0x0A	0x000A
0x0B	0x000B
0x0C	0x000C
0x0D	0x000D
0x0E	0x000E
0x0F	0x000F
0x10	0x0010
0x11	0x0011
0x12	0x0012
0x13	0x0013
0x14	0x0014
0x15	0x0015
0x16	0x0016
0x17	0x0017
0x18	0x0018
0x19	0x0019
0x1A	0x001A
0x1B	0x001B
0x1C	0x001C
0x1D	0x001D
0x1E	0x001E
0x1F	0x001F
0x20	0x0020
0x21	0x0021
0x22	0x0022
0x25	0x0025
0x26	0x0026
0x27	0x0027
0x28	0x0028
0x29	0x0029
0x2A	0x002A
0x2B	0x002B
0x2C	0x002C
0x2D	0x002D
0x2E	0x002E
0x2F	0x002F
0x30	0x0030
0x31	0x0031
0x32	0x0032
0x33	0x0033
0x34	0x0034
0x35	0x0035
0x36	0x0036
0x37	0x0037
0x38	0x0038
0x39	0x0039
0x3A	0x003A
0x3B	0x003B
0x3C	0x003C
0x3D	0x003D
0x3E	0x003E
0x3F	0x003F
0x40	0x0040
0x41	0x0041
0x42	0x0042
0x43	0x0043
0x44	0x0044
0x45	0x0045
0x46	0x0046
0x47	0x0047
0x48	0x0048
0x49	0x0049
0x4A	0x004A
0x4B	0x004B
0x4C	0x004C
0x4D	0x004D
0x4E	0x004E
0x4F	0x004F
0x50	0x0050
0x51	0x0051
0x52	0x0052
0x53	0x0053
0x54	0x0054
0x55	0x0055
0x56	0x0056
0x57	0x0057
0x58	0x0058
0x59	0x0059
0x5A	0x005A
0x5B	0x005B
0x5D	0x005D
0x5F	0x005F
0x61	0x0061
0x62	0x0062
0x63	0x0063
0x64	0x0064
0x65	0x0065
0x66	0x0066
0x67	0x0067
0x68	0x0068
0x69	0x0069
0x6A	0x006A
0x6B	0x006B
0x6C	0x006C
0x6D	0x006D
0x6E	0x006E
0x6F	0x006F
0x70	0x0070
0x71	0x0071
0x72	0x0072
0x73	0x0073
0x74	0x0074
0x75	0x0075
0x76	0x0076
0x77	0x0077
0x78	0x0078
0x79	0x0079
0x7A	0x007A
0x7C	0x007C
0x7F	0x007F
0x80	0x0080
0x81	0x0081
0x82	0x0082
0x83	0x0083
0x84	0x0084
0x85	0x0085
0x86	0x0086
0x87	0x0087
0x88	0x0088
0x89	0x0089
0x8A	0x008A
0x8B	0x008B
0x8C	0x008C
0x8D	0x008D
0x8E	0x008E
0x8F	0x008F
0x90	0x0090
0x91	0x0091
0x92	0x0092
0x93	0x0093
0x94	0x0094
0x95	0x0095
0x96	0x0096
0x97	0x0097
0x98	0x0098
0x99	0x0099
0x9A	0x009A
0x9B	0x009B
0x9C	0x009C
0x9D	0x009D
0x9E	0x009E
0x9F	0x009F
0xA1	0x00A1
0xA2	0x00A2
0xA3	0x00A3
0xA4	0x0024
0xA5	0x00A5
0xA6	0x0023
0xA7	0x00A7
0xA8	0x00A4
0xAB	0x00AB
0xB0	0x00B0
0xB1	0x00B1
0xB2	0x00B2
0xB3	0x00B3
0xB4	0x00D7
0xB5	0x00B5
0xB6	0x00B6
0xB7	0x00B7
0xB8	0x00F7
0xBB	0x00BB
0xBC	0x00BC
0xBD	0x00BD
0xBE	0x00BE
0xBF	0x00BF
0xC141	0x00C0
0xC145	0x00C8
0xC149	0x00CC
0xC14F	0x00D2
0xC155	0x00D9
0xC161	0x00E0
0xC165	0x00E8
0xC169	0x00EC
0xC16F	0x00F2
0xC175	0x00F9
0xC220	0x00B4
0xC241	0x00C1
0xC243	0x0106
0xC245	0x00C9
0xC249	0x00CD
0xC24C	0x0139
0xC24E	0x0143
0xC24F	0x00D3
0xC252	0x0154
0xC253	0x015A
0xC255	0x00DA
0xC259	0x00DD
0xC25A	0x0179
0xC261	0x00E1
0xC263	0x0107
0xC265	0x00E9
0xC269	0x00ED
0xC26C	0x013A
0xC26E	0x0144
0xC26F	0x00F3
0xC272	0x0155
0xC273	0x015B
0xC275	0x00FA
0xC279	0x00FD
0xC27A	0x017A
0xC341	0x00C2
0xC343	0x0108
0xC345	0x00CA
0xC347	0x011C
0xC348	0x0124
0xC349	0x00CE
0xC34A	0x0134
0xC34F	0x00D4
0xC353	0x015C
0xC355	0x00DB
0xC357	0x0174
0xC359	0x0176
0xC361	0x00E2
0xC363	0x0109
0xC365	0x00EA
0xC367	0x011D
0xC368	0x0125
0xC369	0x00EE
0xC36A	0x0135
0xC36F	0x00F4
0xC373	0x015D
0xC375	0x00FB
0xC377	0x0175
0xC379	0x0177
0xC441	0x00C3
0xC449	0x0128
0xC44E	0x00D1
