CHAR_BIT:    expected = 8                     actual = 8
SCHAR_MIN:   expected = -128                  actual = -128
SCHAR_MAX:   expected = 127                   actual = 127
UCHAR_MAX:   expected = 255                   actual = 255
SHRT_MIN:    expected = -32768                actual = -32768
SHRT_MAX:    expected = 32767                 actual = 32767
USHRT_MAX:   expected = 65535                 actual = 65535
INT_MIN:     expected = -2147483648           actual = -2147483648
INT_MAX:     expected = 2147483647            actual = 2147483647
UINT_MAX:    expected = 4294967295            actual = 4294967295
LONG_MIN:    expected = -9223372036854775808  actual = -9223372036854775808
LONG_MAX:    expected = 9223372036854775807   actual = 9223372036854775807
ULONG_MAX:   expected = 18446744073709551615  actual = 18446744073709551615
LLONG_MIN:   expected = -9223372036854775808  actual = -9223372036854775808
LLONG_MAX:   expected = 9223372036854775807   actual = 9223372036854775807
ULLONG_MAX:  expected = 18446744073709551615  actual = 18446744073709551615
WORD_BIT:    expected = 32                    actual = 32
LONG_BIT:    expected = 64                    actual = 64
